"rooms","bathroom","square_meters","lift","terrace","neighborhood","square_meters_price","price","housing type"
4,3,129,1,0,"Horta- Guinardo",11.63,1500,"flat"
4,2,85,1,0,"Sarria-Sant Gervasi",31.76,2700,"flat"
3,2,85,1,0,"Sarria-Sant Gervasi",31.76,2700,"flat"
1,1,90,1,0,"Sants-Montjuïc",7.89,710,"flat"
1,1,110,1,0,"Ciutat Vella",10,1100,"flat"
1,1,59,1,0,"Gràcia",31.1,1835,"flat"
3,4,218,1,0,"Eixample",17.43,3800,"flat"
4,3,200,1,1,"Sarria-Sant Gervasi",16,3200,"flat"
3,3,174,1,1,"Ciutat Vella",17.24,3000,"flat"
3,2,136,0,1,"Sant Martí",19.12,2600,"flat"
1,1,47,0,1,"Sants-Montjuïc",19.15,900,"flat"
1,1,38,0,0,"Horta- Guinardo",14.47,550,"flat"
4,4,270,1,1,"Sarria-Sant Gervasi",17.04,4600,"flat"
3,3,85,1,0,"Eixample",19.41,1650,"flat"
1,1,25,1,0,"Ciutat Vella",20.8,520,"flat"
2,2,85,1,0,"Sant Martí",22.35,1900,"flat"
3,2,193,1,0,"Sant Martí",13.06,2520,"flat"
2,1,90,1,1,"Les Corts",18.89,1700,"flat"
3,2,140,1,0,"Sarria-Sant Gervasi",17.14,2400,"flat"
3,3,140,1,0,"Sarria-Sant Gervasi",17.86,2500,"flat"
4,3,130,1,1,"Eixample",23.08,3000,"flat"
2,3,150,1,0,"Les Corts",12.33,1850,"flat"
1,1,70,1,0,"Eixample",22.86,1600,"flat"
1,1,56,1,0,"Sant Martí",16.07,900,"flat"
3,2,140,0,0,"Les Corts",13.93,1950,"flat"
2,1,78,1,0,"Sant Martí",17.82,1390,"flat"
2,1,50,0,0,"Eixample",18,900,"flat"
1,1,51,0,0,"Gràcia",15.69,800,"flat"
3,2,106,1,1,"Sant Andreu",12.5,1325,"flat"
3,2,110,0,1,"Sants-Montjuïc",9.05,995,"flat"
1,1,46,1,0,"Eixample",19.57,900,"flat"
1,1,90,0,1,"Gràcia",10.89,980,"flat"
4,2,180,1,1,"Eixample",16.39,2950,"flat"
2,1,110,1,0,"Eixample",20,2200,"flat"
4,2,112,1,1,"Eixample",26.79,3000,"flat"
2,1,109,1,1,"Sant Martí",14.22,1550,"flat"
1,2,85,1,1,"Sarria-Sant Gervasi",14.71,1250,"flat"
1,1,60,0,0,"Gràcia",13.33,800,"flat"
2,1,85,1,0,"Sarria-Sant Gervasi",20,1700,"flat"
2,2,54,1,1,"Sants-Montjuïc",16.67,900,"flat"
3,3,140,1,0,"Sarria-Sant Gervasi",17.14,2400,"flat"
3,2,140,1,0,"Sarria-Sant Gervasi",16.43,2300,"flat"
3,2,85,1,0,"Sarria-Sant Gervasi",37.65,3200,"flat"
1,1,75,1,0,"Gràcia",37.33,2800,"flat"
1,2,176,0,1,"Ciutat Vella",11.08,1950,"flat"
1,2,80,0,0,"Gràcia",10.94,875,"flat"
4,3,175,1,1,"Sarria-Sant Gervasi",16,2800,"flat"
3,4,211,1,1,"Eixample",17.06,3600,"flat"
2,1,80,0,0,"Sant Martí",16.25,1300,"flat"
1,1,55,1,0,"Sant Martí",18.18,1000,"flat"
1,1,20,1,0,"Sants-Montjuïc",30,600,"flat"
1,1,43,0,0,"Ciutat Vella",17.44,750,"flat"
1,2,63,0,0,"Sarria-Sant Gervasi",18.25,1150,"flat"
1,1,65,1,1,"Eixample",14.31,930,"flat"
